Db7M-4 : 14/1 26/4 35/2 46/3 54/1 64/1

D-0 : 12/2 23/1 32/3 40 50 6x
D-5C-5 : 15/1 27/4 37/3 40 5x 6x
D6-7C-7 : 17/1 27/1 37/1 40 5x 6x
D7-7C-7 : 18/2 27/1 37/1 40 5x 6x

D[Fd]-0 : 12/2 23/1 32/3 40 50 62/p

D7M-0 : 12/1 22/1 32/1 40 50 6x
D7M-5 : 15/1 27/4 36/2 47/3 55/1 65/1

D7-0 : 12/3 21/1 32/2 40 50 6x
D7-5 : 15/1 27/4 35/1 46/3 55/1 65/1
Dsus4-0 : 13/4 23/3 32/2 40 50 6x
Dsus7-5 : 15/1 28/4 35/1 47/3 55/1 65/1

Dm-0 : 11/1 23/3 32/2 40 50 6x
Dm7-0 : 11/1 21/1 32/2 40 50 6x

Dm6-0 : 11/1 20 32/2 40 50 6x
Dm6-5 : 17/4 26/2 35/1 47/3 55/1 65/1
Dm6[a]-5 : 17/4 26/1 37/3 47/2 50 6x
Dm6-10 : 1x 210/4 310/3 49/1 5x 610/2

Dd-6 : 16/1 28/4 38/3 48/2 56/1 66/1

Dd7-6 : 16/1 28/4 36/1 48/3 56/1 66/1
Dd7dim-6 : 1x 24/1 35/2 47/4 56/3 6x

Ddm-6 : 16/1 27/2 38/4 48/3 56/1 66/1
